sucursal,producto,año,mes,cantidad,ingreso,costo
Centro,Sauvignon Blanc,2020,05,3817,10604022.87,8368493.8
Sur,Cabernet Sauvignon,2020,05,4609,14698946.96,10173357.91
Sur,Merlot,2020,05,3961,10548738.53,7164258.34
Sur,Pinot Noir,2020,05,2940,9877097.58,6162450.69
Sur,Chardonnay,2020,05,4948,14343805.68,11077592.71
Sur,Sauvignon Blanc,2020,05,3163,7816800.27,4754213.53
Norte,Cabernet Sauvignon,2020,06,5162,16712155.23,12445447.68
Norte,Merlot,2020,06,4308,11726025.53,7089042.02
Norte,Pinot Noir,2020,06,3083,9805592.33,7139162.42
Norte,Chardonnay,2020,06,4629,12723569.2,8339322.08
Norte,Sauvignon Blanc,2020,06,3703,10008492.08,7667642.83
Centro,Cabernet Sauvignon,2020,06,4563,13450942.39,9105056.02
Centro,Merlot,2020,06,3730,10205362.17,7624775.01
Centro,Pinot Noir,2020,06,2930,10938689.42,6855797.14
Centro,Chardonnay,2020,06,4763,13021345.59,9265678.03
Centro,Sauvignon Blanc,2020,06,3811,9795046.67,6546659.93
Sur,Cabernet Sauvignon,2020,06,4729,14903171.43,9687261.49
Sur,Merlot,2020,06,4064,9409096.79,6127675.26
Sur,Pinot Noir,2020,06,2729,8774548.03,5936251.13
Sur,Chardonnay,2020,06,4606,12719157.35,9837045.98
Sur,Sauvignon Blanc,2020,06,3566,9176420.65,6679940.76
Norte,Cabernet Sauvignon,2020,07,4892,13219483.16,9567634.76
Norte,Merlot,2020,07,3937,8982377.89,5902157.7
Norte,Pinot Noir,2020,07,2772,10019669.46,7638820.84
Norte,Chardonnay,2020,07,4664,13761451.23,8784586.93
Norte,Sauvignon Blanc,2020,07,3499,9192380.67,6592116.18
Centro,Cabernet Sauvignon,2020,07,5034,13694307.32,10808596.07
Centro,Merlot,2020,07,4038,9712520.81,6396829.01
Centro,Pinot Noir,2020,07,2847,10520365.56,7208605.98
Centro,Chardonnay,2020,07,4353,13356382.51,10205390.3
Centro,Sauvignon Blanc,2020,07,3835,9681336.39,6263121.91
Sur,Cabernet Sauvignon,2020,07,5080,16463128.75,10506064.39
Sur,Merlot,2020,07,3888,9900464.44,6964110.5
Sur,Pinot Noir,2020,07,2724,9922803.47,6281005.84
Sur,Chardonnay,2020,07,4338,10955451.09,6978552.32
Sur,Sauvignon Blanc,2020,07,3297,8632539.42,6614084.42
Norte,Cabernet Sauvignon,2020,08,4557,14322614.62,8840136.13
Norte,Merlot,2020,08,4155,9504217.55,6043436.88
Norte,Pinot Noir,2020,08,2860,10541718.67,7765974.25
Norte,Chardonnay,2020,08,4213,10830654.39,6965603.26
Norte,Sauvignon Blanc,2020,08,3335,9488712.23,6783567.87
Centro,Cabernet Sauvignon,2020,08,5454,14822879.3,11755945.53
Centro,Merlot,2020,08,3737,9198267.17,5866255.1
Centro,Pinot Noir,2020,08,3264,11575709.34,8095644.04
Centro,Chardonnay,2020,08,4157,10939837.42,8044182.38
Centro,Sauvignon Blanc,2020,08,3397,9227508.85,6002619.25
Sur,Cabernet Sauvignon,2020,08,5378,17045971.33,12563509.39
Sur,Merlot,2020,08,3725,8637120.01,5948659.49
Sur,Pinot Noir,2020,08,2746,8718367.15,6787879.34
Sur,Chardonnay,2020,08,4790,14410904.08,9365578.76
Sur,Sauvignon Blanc,2020,08,3171,8406602.51,5082620.76
Norte,Cabernet Sauvignon,2020,09,4590,14528756.23,8749538.6
Norte,Merlot,2020,09,3877,9451034.43,7502531.94
Norte,Pinot Noir,2020,09,2928,11137530.73,7188789.52
Norte,Chardonnay,2020,09,4161,11266692.82,8561354.76
Norte,Sauvignon Blanc,2020,09,3487,8256527.2,5844264.11
Centro,Cabernet Sauvignon,2020,09,4959,13740351.56,8254620.51
Centro,Merlot,2020,09,3813,10061342.63,7657989.85
Centro,Pinot Noir,2020,09,2790,10487543.61,6486337.9
Centro,Chardonnay,2020,09,4667,12063489.65,8443074.03
Centro,Sauvignon Blanc,2020,09,3626,9040089.88,6384899.68
Sur,Cabernet Sauvignon,2020,09,4952,14198700.02,9227473.83
Sur,Merlot,2020,09,4091,11205444.46,7935558.34
Sur,Pinot Noir,2020,09,3040,11062988.74,8846639.05
Sur,Chardonnay,2020,09,4797,14710661.73,11296972.95
Sur,Sauvignon Blanc,2020,09,3335,8124990.69,5626083.71
Norte,Cabernet Sauvignon,2020,10,5376,17055560.6,12825088.21
Norte,Merlot,2020,10,3659,8454199.38,5633665.44
Norte,Pinot Noir,2020,10,2937,11209365.65,7300598.94
Norte,Chardonnay,2020,10,4326,12503342.95,7791469.42
Norte,Sauvignon Blanc,2020,10,3392,8004445.86,4865817.89
Centro,Cabernet Sauvignon,2020,10,4905,14776643.54,11736864.8
Centro,Merlot,2020,10,4107,10507566.71,7233594.86
Centro,Pinot Noir,2020,10,3008,9486082.92,6753227.31
Centro,Chardonnay,2020,10,4554,12382938.49,8415297.18
Centro,Sauvignon Blanc,2020,10,3274,8860707.66,5913853.89
Sur,Cabernet Sauvignon,2020,10,4696,13204868.22,8536321.74
Sur,Merlot,2020,10,4278,11505529.45,9101252.16
Sur,Pinot Noir,2020,10,3051,10466024.2,7623118.26
Sur,Chardonnay,2020,10,4068,11517114.75,7971510.78
Sur,Sauvignon Blanc,2020,10,3592,8866769.16,6289844.69
Norte,Cabernet Sauvignon,2020,11,4604,12645041.75,7634319.93
Norte,Merlot,2020,11,4273,10197785.88,7398233.12
Norte,Pinot Noir,2020,11,2834,9390331.13,5768393.89
Norte,Chardonnay,2020,11,4118,10653755.66,7905575.23
Norte,Sauvignon Blanc,2020,11,3261,8440130.61,5620973.49
Centro,Cabernet Sauvignon,2020,11,4962,13913904.0,9676348.9
Centro,Merlot,2020,11,4191,10885656.24,7525393.14
Centro,Pinot Noir,2020,11,3018,10092283.53,7310722.5
Centro,Chardonnay,2020,11,4913,13879005.54,9318142.13
Centro,Sauvignon Blanc,2020,11,3628,9460326.05,5776764.75
Sur,Cabernet Sauvignon,2020,11,4723,15278855.2,10942093.07
Sur,Merlot,2020,11,4264,11148961.8,8857453.79
Sur,Pinot Noir,2020,11,3172,11367363.9,8523925.72
Sur,Chardonnay,2020,11,4367,12773481.5,10214150.31
Sur,Sauvignon Blanc,2020,11,3686,9004191.1,6447440.4
Norte,Cabernet Sauvignon,2020,12,5066,16375144.35,12381121.24
Norte,Merlot,2020,12,3711,9181625.72,6017875.96
Norte,Pinot Noir,2020,12,2954,10973009.16,8375646.6
Norte,Chardonnay,2020,12,4741,13663449.69,10063198.05
Norte,Sauvignon Blanc,2020,12,3760,8971036.06,6212079.83
Centro,Cabernet Sauvignon,2020,12,5426,15202988.28,9504499.92
Centro,Merlot,2020,12,3702,8667415.3,5491264.54
Centro,Pinot Noir,2020,12,2753,8870971.24,6723604.45
Centro,Chardonnay,2020,12,4911,12645520.17,8008954.71
Centro,Sauvignon Blanc,2020,12,3217,8418585.32,6555848.1
Sur,Cabernet Sauvignon,2020,12,4962,14911368.32,11329174.75
Sur,Merlot,2020,12,3702,8785083.77,6692090.38
Sur,Pinot Noir,2020,12,3254,11384544.81,8655226.52
Sur,Chardonnay,2020,12,4829,13794201.88,8752230.84
Sur,Sauvignon Blanc,2020,12,3346,8898693.23,6793504.24
Norte,Cabernet Sauvignon,2021,01,4952,19101647.51,11698593.94
Norte,Merlot,2021,01,4162,11940644.67,8272274.66
Norte,Pinot Noir,2021,01,3865,18374816.82,11053972.7
Norte,Chardonnay,2021,01,4962,15120290.34,9732539.04
Norte,Sauvignon Blanc,2021,01,3420,9559893.59,6885046.11
Centro,Cabernet Sauvignon,2021,01,5777,22795783.79,17509328.01
Centro,Merlot,2021,01,3692,10494001.07,7973174.88
Centro,Pinot Noir,2021,01,3804,16456077.02,10170302.74
Centro,Chardonnay,2021,01,4562,15300347.51,11840737.83
Centro,Sauvignon Blanc,2021,01,3260,9432352.17,5839184.62
Sur,Cabernet Sauvignon,2021,01,5596,22049748.0,13598157.69
Sur,Merlot,2021,01,3952,10516895.98,7316704.26
Sur,Pinot Noir,2021,01,3459,17111108.62,12639764.91
Sur,Chardonnay,2021,01,5131,16944971.95,13454816.44
Sur,Sauvignon Blanc,2021,01,3709,11396677.72,8676146.37
Norte,Cabernet Sauvignon,2021,02,5475,20414012.68,13933896.38
Norte,Merlot,2021,02,4064,12168391.76,9720956.66
Norte,Pinot Noir,2021,02,3899,16718910.13,11980240.01
Norte,Chardonnay,2021,02,5006,17430093.73,13568038.56
Norte,Sauvignon Blanc,2021,02,3796,11156084.56,7024071.52
Centro,Cabernet Sauvignon,2021,02,5918,20493085.88,13852255.61
Centro,Merlot,2021,02,4295,12565087.68,9356779.85
Centro,Pinot Noir,2021,02,3581,15562090.29,11190688.51
Centro,Chardonnay,2021,02,4641,15843642.87,10908022.56
Centro,Sauvignon Blanc,2021,02,3620,10553334.33,8072720.82
Sur,Cabernet Sauvignon,2021,02,5705,18494383.88,12102929.36
Sur,Merlot,2021,02,3815,11458390.83,7978322.9
Sur,Pinot Noir,2021,02,3310,15027206.29,11046713.24
Sur,Chardonnay,2021,02,5332,17334096.97,12784097.67
Sur,Sauvignon Blanc,2021,02,3616,11163208.5,7518776.43
Norte,Cabernet Sauvignon,2021,03,4980,16907324.34,12396275.83
Norte,Merlot,2021,03,3832,9850528.85,7219309.77
Norte,Pinot Noir,2021,03,3350,16508104.26,10481585.87
Norte,Chardonnay,2021,03,4890,15138437.56,11363817.0
Norte,Sauvignon Blanc,2021,03,3457,9003819.41,5873469.35
Centro,Cabernet Sauvignon,2021,03,5013,18277790.69,12904819.48
Centro,Merlot,2021,03,4022,11065378.07,8307766.26
Centro,Pinot Noir,2021,03,3651,15302738.23,11890067.11
Centro,Chardonnay,2021,03,4600,15283732.91,10430289.28
Centro,Sauvignon Blanc,2021,03,3588,9456256.98,5800394.54
Sur,Cabernet Sauvignon,2021,03,5920,19228866.0,12024651.53
Sur,Merlot,2021,03,3802,9887249.84,6557795.58
Sur,Pinot Noir,2021,03,3528,16783439.38,13014026.54
Sur,Chardonnay,2021,03,4506,15389609.12,9965724.3
Sur,Sauvignon Blanc,2021,03,3825,10731891.97,6491930.3
Norte,Cabernet Sauvignon,2021,04,5513,19891735.6,13357966.81
Norte,Merlot,2021,04,3955,10961115.37,8310444.2
Norte,Pinot Noir,2021,04,3670,15504242.39,12115173.15
Norte,Chardonnay,2021,04,5031,18118251.61,13455635.16
Norte,Sauvignon Blanc,2021,04,3225,8773140.73,6730229.03
Centro,Cabernet Sauvignon,2021,04,4961,19525006.2,12359548.43
Centro,Merlot,2021,04,4387,12294983.88,9145762.47
Centro,Pinot Noir,2021,04,3654,17833205.28,13498789.55
Centro,Chardonnay,2021,04,4634,14239053.32,9959873.04
Centro,Sauvignon Blanc,2021,04,3369,9132234.64,6391804.54
Sur,Cabernet Sauvignon,2021,04,5199,18428892.48,12836537.81
Sur,Merlot,2021,04,4260,12167269.17,7691672.72
Sur,Pinot Noir,2021,04,3280,14422902.94,9040887.28
Sur,Chardonnay,2021,04,4852,16620343.67,12848639.81
Sur,Sauvignon Blanc,2021,04,3238,9025727.21,6157412.27
Norte,Cabernet Sauvignon,2021,05,5286,19376225.79,13594085.61
Norte,Merlot,2021,05,4281,12580382.67,7855954.84
Norte,Pinot Noir,2021,05,3595,15428022.23,11087567.07
Norte,Chardonnay,2021,05,4635,15673262.31,11501125.56
Norte,Sauvignon Blanc,2021,05,3217,9889868.42,7063075.61
Centro,Cabernet Sauvignon,2021,05,5831,22188859.6,14074745.21
Centro,Merlot,2021,05,4276,11587857.16,8034609.45
Centro,Pinot Noir,2021,05,3640,15468998.93,10486573.42
Centro,Chardonnay,2021,05,5286,18688281.94,13112914.28
Centro,Sauvignon Blanc,2021,05,3259,8959145.5,6949787.96
Sur,Cabernet Sauvignon,2021,05,4950,19294787.33,12281732.93
Sur,Merlot,2021,05,3728,9676098.59,7162559.82
Sur,Pinot Noir,2021,05,3698,16772388.11,10501400.74
Sur,Chardonnay,2021,05,4664,16412257.17,10411900.4
Sur,Sauvignon Blanc,2021,05,3321,8969935.63,5769324.95
Norte,Cabernet Sauvignon,2021,06,5376,20180213.43,13275523.24
Norte,Merlot,2021,06,4320,11105400.14,7715343.16
Norte,Pinot Noir,2021,06,3901,16240155.43,10112573.44
Norte,Chardonnay,2021,06,4600,16701080.17,10364598.24
Norte,Sauvignon Blanc,2021,06,3808,10828128.94,7009738.72
Centro,Cabernet Sauvignon,2021,06,5350,17684853.86,11886788.27
Centro,Merlot,2021,06,4301,11593361.6,7396559.25
Centro,Pinot Noir,2021,06,3833,16447256.83,11548139.97
Centro,Chardonnay,2021,06,5033,16833794.75,12307991.54
Centro,Sauvignon Blanc,2021,06,3768,10786894.35,6960407.78
Sur,Cabernet Sauvignon,2021,06,5422,19957286.29,13676342.81
Sur,Merlot,2021,06,3715,10387192.03,8298605.79
Sur,Pinot Noir,2021,06,3284,14524709.53,9137957.07
Sur,Chardonnay,2021,06,4677,16852241.62,13426406.96
Sur,Sauvignon Blanc,2021,06,3710,10467926.43,6682641.06
Norte,Cabernet Sauvignon,2021,07,5800,19557195.59,12131141.66
Norte,Merlot,2021,07,3698,11144551.78,8846149.65
Norte,Pinot Noir,2021,07,3454,16744135.68,11987914.97
Norte,Chardonnay,2021,07,5260,18017472.82,11089004.45
Norte,Sauvignon Blanc,2021,07,3225,9309745.01,6707899.73
Centro,Cabernet Sauvignon,2021,07,5151,17776376.48,11340030.35
Centro,Merlot,2021,07,3813,9789856.35,7806295.6
Centro,Pinot Noir,2021,07,3466,14573080.08,11269344.91
Centro,Chardonnay,2021,07,4561,14492949.82,8751384.83
Centro,Sauvignon Blanc,2021,07,3378,8848664.96,6811790.65
Sur,Cabernet Sauvignon,2021,07,5892,19522950.41,15108161.12
Sur,Merlot,2021,07,4287,10649844.34,7691309.69
Sur,Pinot Noir,2021,07,3871,18585175.61,12466193.34
Sur,Chardonnay,2021,07,5062,17443297.26,13460378.03
Sur,Sauvignon Blanc,2021,07,3668,10066156.48,8027954.09
Norte,Cabernet Sauvignon,2021,08,5282,17314748.25,10722031.38
Norte,Merlot,2021,08,4300,12548548.25,8245672.16
Norte,Pinot Noir,2021,08,3888,18407679.11,13486101.07
Norte,Chardonnay,2021,08,4698,14282275.67,10009838.46
Norte,Sauvignon Blanc,2021,08,3677,10174268.08,7465223.76
Centro,Cabernet Sauvignon,2021,08,5952,22707259.94,17992088.49
Centro,Merlot,2021,08,4078,11790492.69,9402195.27
Centro,Pinot Noir,2021,08,3645,15398278.84,10500766.17
Centro,Chardonnay,2021,08,5160,17067931.65,13124738.59
Centro,Sauvignon Blanc,2021,08,3447,10397423.54,8062424.06
Sur,Cabernet Sauvignon,2021,08,5321,18778864.36,14117038.25
Sur,Merlot,2021,08,3715,11122826.37,8145408.49
Sur,Pinot Noir,2021,08,3804,16040577.45,10425119.45
Sur,Chardonnay,2021,08,5082,18016470.42,11683787.59
Sur,Sauvignon Blanc,2021,08,3310,10307783.95,6995163.9
Norte,Cabernet Sauvignon,2021,09,5209,17176417.81,13260591.56
Norte,Merlot,2021,09,3775,11335035.51,8027386.86
Norte,Pinot Noir,2021,09,3484,16576513.23,11204166.97
Norte,Chardonnay,2021,09,4714,16371224.57,10753039.19
Norte,Sauvignon Blanc,2021,09,3534,11090698.23,8608271.56
Centro,Cabernet Sauvignon,2021,09,5052,18151110.65,14044918.73
Centro,Merlot,2021,09,4377,12364301.23,8856630.82
Centro,Pinot Noir,2021,09,3803,18729145.39,11321101.59
Centro,Chardonnay,2021,09,5172,17137898.76,12530212.6
Centro,Sauvignon Blanc,2021,09,3768,10722700.99,7586104.58
Sur,Cabernet Sauvignon,2021,09,5263,19978027.78,12283498.24
Sur,Merlot,2021,09,3721,10577643.36,8413080.36
Sur,Pinot Noir,2021,09,3445,15832652.99,9871037.98
Sur,Chardonnay,2021,09,5000,18007541.12,12220241.59
Sur,Sauvignon Blanc,2021,09,3486,10627316.92,7226000.75
Norte,Cabernet Sauvignon,2021,10,4996,17342331.86,12952159.53
Norte,Merlot,2021,10,4129,11065765.49,7765160.16
Norte,Pinot Noir,2021,10,3608,15412623.13,9358293.03
Norte,Chardonnay,2021,10,4802,17664975.67,12410253.21
Norte,Sauvignon Blanc,2021,10,3537,11091406.2,8214193.75
Centro,Cabernet Sauvignon,2021,10,5250,17563492.2,12795934.1
Centro,Merlot,2021,10,3671,9899392.54,7534919.76
Centro,Pinot Noir,2021,10,3620,15689392.59,12031562.15
Centro,Chardonnay,2021,10,4580,14964849.44,9302698.8
Centro,Sauvignon Blanc,2021,10,3833,10677860.54,7684664.57
Sur,Cabernet Sauvignon,2021,10,5156,17358443.88,11928200.73
Sur,Merlot,2021,10,3936,11361759.31,7874423.49
Sur,Pinot Noir,2021,10,3638,16985588.46,13220464.6
Sur,Chardonnay,2021,10,4689,16037019.41,12533293.2
Sur,Sauvignon Blanc,2021,10,3265,9092491.78,6758177.22
Norte,Cabernet Sauvignon,2021,11,5650,19476520.8,14670163.34
Norte,Merlot,2021,11,4222,12012105.4,8879470.04
Norte,Pinot Noir,2021,11,3287,15240710.56,10125161.95
Norte,Chardonnay,2021,11,4910,17435787.78,11555318.23
Norte,Sauvignon Blanc,2021,11,3604,9740462.09,5914481.31
Centro,Cabernet Sauvignon,2021,11,5652,19339562.55,12568388.65
Centro,Merlot,2021,11,3762,11249208.95,7391748.8
Centro,Pinot Noir,2021,11,3817,17155819.98,11152990.67
Centro,Chardonnay,2021,11,4716,15995547.66,11364556.33
Centro,Sauvignon Blanc,2021,11,3837,12004831.82,8619606.61
Sur,Cabernet Sauvignon,2021,11,5546,18692687.69,11962838.21
Sur,Merlot,2021,11,4359,13073381.27,8245939.37
Sur,Pinot Noir,2021,11,3753,17194111.96,12177077.94
Sur,Chardonnay,2021,11,4832,16778866.74,12652621.41
Sur,Sauvignon Blanc,2021,11,3558,9484287.12,7258903.55
Norte,Cabernet Sauvignon,2021,12,5160,18746473.55,11365448.77
Norte,Merlot,2021,12,4280,10639445.15,7605301.19
Norte,Pinot Noir,2021,12,3288,14683426.81,10079098.97
Norte,Chardonnay,2021,12,4555,16137148.08,10205157.08
Norte,Sauvignon Blanc,2021,12,3359,10542131.59,6498468.88
Centro,Cabernet Sauvignon,2021,12,5437,20384705.6,13104877.49
Centro,Merlot,2021,12,3907,10920007.61,8311873.68
Centro,Pinot Noir,2021,12,3552,15566438.87,9609335.34
Centro,Chardonnay,2021,12,5400,19330518.17,15201928.85
Centro,Sauvignon Blanc,2021,12,3708,9926875.01,7424705.54
Sur,Cabernet Sauvignon,2021,12,5421,18828879.69,12850489.45
Sur,Merlot,2021,12,4142,11715316.96,9279950.09
Sur,Pinot Noir,2021,12,3507,17329920.98,13808432.81
Sur,Chardonnay,2021,12,5197,16683374.59,12619575.76
Sur,Sauvignon Blanc,2021,12,3331,9032771.79,6932394.33
Norte,Cabernet Sauvignon,2022,01,6075,24096358.3,14723094.97
Norte,Merlot,2022,01,3826,12554413.75,10033658.49
Norte,Pinot Noir,2022,01,4467,28174976.05,22330910.93
Norte,Chardonnay,2022,01,5259,20750902.93,13854856.76
Norte,Sauvignon Blanc,2022,01,3688,12053949.82,8000776.67
Centro,Cabernet Sauvignon,2022,01,6120,24440509.59,17832729.85
Centro,Merlot,2022,01,4124,13277343.09,9575454.74
Centro,Pinot Noir,2022,01,4632,27638393.68,19563421.26
Centro,Chardonnay,2022,01,5942,23735209.57,17786662.56
Centro,Sauvignon Blanc,2022,01,3467,11718647.5,8170747.95
Sur,Cabernet Sauvignon,2022,01,5838,27580987.06,17356117.86
Sur,Merlot,2022,01,4055,12134841.56,7904203.84
Sur,Pinot Noir,2022,01,4265,24919581.67,18537994.82
Sur,Chardonnay,2022,01,5896,24912641.22,18010104.77
Sur,Sauvignon Blanc,2022,01,3430,10827889.47,7059610.66
Norte,Cabernet Sauvignon,2022,02,6248,29488596.39,22078846.57
Norte,Merlot,2022,02,4159,13147628.69,8507311.64
Norte,Pinot Noir,2022,02,4543,25299158.66,19842701.89
Norte,Chardonnay,2022,02,5748,21985616.09,15863858.65
Norte,Sauvignon Blanc,2022,02,3346,10542684.87,7036647.03
Centro,Cabernet Sauvignon,2022,02,6418,29735488.62,19621884.7
Centro,Merlot,2022,02,3734,11821386.65,7468893.69
Centro,Pinot Noir,2022,02,4196,25436242.83,15275833.07
Centro,Chardonnay,2022,02,5149,21004294.35,16503674.49
Centro,Sauvignon Blanc,2022,02,3490,10827461.31,6933264.75
Sur,Cabernet Sauvignon,2022,02,6149,27347165.74,17609541.44
Sur,Merlot,2022,02,3933,12243350.98,7812524.84
Sur,Pinot Noir,2022,02,4543,28445757.66,18171047.9
Sur,Chardonnay,2022,02,5474,23393121.82,16768735.1
Sur,Sauvignon Blanc,2022,02,3814,13073144.83,7882205.36
Norte,Cabernet Sauvignon,2022,03,6604,27827020.86,20449559.33
Norte,Merlot,2022,03,3871,10968826.26,8024129.06
Norte,Pinot Noir,2022,03,4597,27277903.95,18822514.53
Norte,Chardonnay,2022,03,5038,20845289.99,13966061.82
Norte,Sauvignon Blanc,2022,03,3390,11615599.85,8888465.14
Centro,Cabernet Sauvignon,2022,03,5637,23705176.4,16708448.58
Centro,Merlot,2022,03,4254,13991620.72,10922708.45
Centro,Pinot Noir,2022,03,4583,29677065.09,20221617.74
Centro,Chardonnay,2022,03,5062,19901129.4,13425212.64
Centro,Sauvignon Blanc,2022,03,3349,9594633.89,6486910.9
Sur,Cabernet Sauvignon,2022,03,6046,26282975.04,18306776.79
Sur,Merlot,2022,03,3745,12298248.69,9386618.83
Sur,Pinot Noir,2022,03,3961,24055691.83,16290554.92
Sur,Chardonnay,2022,03,5432,20825001.33,15984491.66
Sur,Sauvignon Blanc,2022,03,3650,10712918.75,6558850.88
Norte,Cabernet Sauvignon,2022,04,6195,27246159.62,18425124.83
Norte,Merlot,2022,04,3669,10183577.9,6483359.96
Norte,Pinot Noir,2022,04,4751,28209682.22,17866702.79
Norte,Chardonnay,2022,04,5582,21813422.79,13308902.65
Norte,Sauvignon Blanc,2022,04,3573,11966816.33,7832515.34
Centro,Cabernet Sauvignon,2022,04,6419,28615461.16,21577601.29
Centro,Merlot,2022,04,3632,10439420.48,7570696.1
Centro,Pinot Noir,2022,04,4537,28138044.76,22461911.67
Centro,Chardonnay,2022,04,5080,20021175.6,14829159.55
Centro,Sauvignon Blanc,2022,04,3653,11703861.03,8395228.67
Sur,Cabernet Sauvignon,2022,04,6020,28447473.4,18458040.83
Sur,Merlot,2022,04,4371,13823138.22,9302079.97
Sur,Pinot Noir,2022,04,4078,22914103.73,17767110.45
Sur,Chardonnay,2022,04,5413,20258825.62,15575465.37
Sur,Sauvignon Blanc,2022,04,3623,12457734.12,8036671.42
Norte,Cabernet Sauvignon,2022,05,5732,25861231.49,15562100.6
Norte,Merlot,2022,05,3672,10682882.7,6500776.72
Norte,Pinot Noir,2022,05,3973,24630066.11,17328637.87
Norte,Chardonnay,2022,05,5657,21447373.37,13448647.61
Norte,Sauvignon Blanc,2022,05,3194,10952471.23,7565899.82
Centro,Cabernet Sauvignon,2022,05,6258,29096243.31,21167334.27
Centro,Merlot,2022,05,4374,13628800.11,9753530.41
